0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
21   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor Z:\apache_tools\solr-4.7.1\solr\example\contexts at interval 0
26   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: Z:\apache_tools\solr-4.7.1\solr\example\contexts\solr-jetty-context.xml
1236 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
1839 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/clustering/lib/attributes-binder-1.2.0.jar' to classloader
1839 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/clustering/lib/carrot2-mini-3.8.0.jar' to classloader
1839 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
1840 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
1840 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
1840 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
1840 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
1840 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
1841 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/dist/solr-clustering-4.7.1-SNAPSHOT.jar' to classloader
1842 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
1842 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
1843 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/dist/solr-langid-4.7.1-SNAPSHOT.jar' to classloader
1843 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
1844 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
1844 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/velocity/lib/velocity-1.7.jar' to classloader
1844 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
1845 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Z:/apache_tools/solr-4.7.1/solr/dist/solr-velocity-4.7.1-SNAPSHOT.jar' to classloader
